Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,class,date,hours,weekday
2016-12-31 09:00:00,1083,3,NB_OS,1,North,284.0,0,,16566,18,0,279,0,5,0,0.0,0,2016-12-31,09:00:00,6
2016-12-31 10:00:00,1083,3,NB_OS,1,North,414.0,0,,17017,19,2,402,2,8,0,0.0,0,2016-12-31,10:00:00,6
2016-12-31 11:00:00,1083,3,NB_OS,1,North,622.0,0,,16059,6,4,614,0,3,1,0.0,0,2016-12-31,11:00:00,6
2016-12-31 12:00:00,1083,3,NB_OS,1,North,583.0,0,,14465,8,4,847,0,7,0,0.0,0,2016-12-31,12:00:00,6
2016-12-31 13:00:00,1083,3,NB_OS,1,North,553.0,0,,10475,20,4,1066,0,17,5,3.0,0,2016-12-31,13:00:00,6
2016-12-31 14:00:00,1083,3,NB_OS,1,North,539.5,0,,10144,15,3,755,0,7,5,4.0,0,2016-12-31,14:00:00,6
2016-12-31 15:00:00,1083,3,NB_OS,1,North,486.0,0,,16830,4,1,483,0,2,0,0.0,1,2016-12-31,15:00:00,6
2016-12-31 16:00:00,1083,3,NB_OS,1,North,409.0,0,,16549,5,3,404,0,2,0,0.0,0,2016-12-31,16:00:00,6
2016-12-31 17:00:00,1083,3,NB_OS,1,North,337.0,0,,15428,15,1,329,2,5,0,0.0,0,2016-12-31,17:00:00,6
2016-12-31 18:00:00,1083,3,NB_OS,1,North,284.0,0,,16981,7,2,280,0,2,0,0.0,0,2016-12-31,18:00:00,6
2016-12-31 19:00:00,1083,3,NB_OS,1,North,272.0,0,,17390,7,0,270,0,2,0,0.0,0,2016-12-31,19:00:00,6
2016-12-31 20:00:00,1083,3,NB_OS,1,North,264.0,0,,17851,8,1,261,0,2,0,0.0,0,2016-12-31,20:00:00,6
2016-12-31 21:00:00,1083,3,NB_OS,1,North,148.0,0,,18089,47,0,141,0,7,0,0.0,0,2016-12-31,21:00:00,6
2016-12-31 22:00:00,1083,3,NB_OS,1,North,122.0,0,,18133,16,0,120,0,2,0,0.0,0,2016-12-31,22:00:00,6
2016-12-31 23:00:00,1083,3,NB_OS,1,North,73.0,0,,17957,27,0,71,0,2,0,0.0,0,2016-12-31,23:00:00,6
2017-11-18 00:00:00,1083,3,NB_OS,1,North,53.0,0,,16300,0,0,53,0,0,0,0.0,0,2017-11-18,00:00:00,6
2017-11-18 01:00:00,1083,3,NB_OS,1,North,34.0,0,,16585,0,0,34,0,0,0,0.0,0,2017-11-18,01:00:00,6
2017-11-18 02:00:00,1083,3,NB_OS,1,North,22.0,0,,18384,45,0,21,0,1,0,0.0,0,2017-11-18,02:00:00,6
2017-11-18 03:00:00,1083,3,NB_OS,1,North,10.0,0,,17722,0,0,10,0,0,0,0.0,0,2017-11-18,03:00:00,6
2017-11-18 04:00:00,1083,3,NB_OS,1,North,17.0,0,,17010,0,1,16,0,0,0,0.0,0,2017-11-18,04:00:00,6
2017-11-18 05:00:00,1083,3,NB_OS,1,North,25.0,0,,17822,0,1,23,0,0,0,1.0,0,2017-11-18,05:00:00,6
2017-11-18 06:00:00,1083,3,NB_OS,1,North,70.0,0,,17635,0,0,70,0,0,0,0.0,0,2017-11-18,06:00:00,6
2017-11-18 07:00:00,1083,3,NB_OS,1,North,175.0,0,,17186,63,2,161,1,11,0,0.0,0,2017-11-18,07:00:00,6
2017-11-18 08:00:00,1083,3,NB_OS,1,North,412.0,0,,15885,10,2,405,1,4,0,0.0,0,2017-11-18,08:00:00,6
2017-11-18 09:00:00,1083,3,NB_OS,1,North,495.0,0,,15715,16,1,485,1,8,0,0.0,0,2017-11-18,09:00:00,6
2017-11-18 10:00:00,1083,3,NB_OS,1,North,515.0,0,,15719,25,0,502,0,13,0,0.0,0,2017-11-18,10:00:00,6
2017-11-18 11:00:00,1083,3,NB_OS,1,North,587.0,0,,15336,24,3,570,0,14,0,0.0,0,2017-11-18,11:00:00,6
